grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
'n	n	n	ˈɛn	ʔʊn	dict	[]	0.000	1.000	1.000
'ne	nə	nə	nˈeː	mnə	dict	[]	0.000	1.500	0.500
'nem	nəm	nəm	nˈeːm	ʔiːnəm	compound	ne|m	0.000	1.000	1.000
'nen	nən	nən	nˈeːn	ʔiːnən	dict	[]	0.000	1.000	1.000
'ner	nɐ	nɐ	nˈeːɾ	ʔiːnɐ	dict	[]	0.000	2.000	1.500
'türlich	tyːɐlɪc	tyːɐlɪc	tˈyːɾlɪc	ʃtʏʁlɪc	compound	tür|lich	0.000	0.286	0.571
A	ʔaː	aː	ˈɑː	ʔa	dict	[]	0.333	0.667	0.333
AAD	aːʔaːdeː	ˈaːˈaːˈdeː	ˈɑːt	aːt	abbr	[]	0.375	0.875	0.750
ABC	aːbetseː	ˈaːˈbeːˈtseː	ˈapk	ʔapk	abbr	[]	0.500	1.000	1.000
ADHS	aːdeːhaːʔɛs	ˈaːˈdeːˈhaːˈɛs	ˈaths	ʔats	abbr	[]	0.364	0.818	0.818
ALG	aːʔɛlɡeː	ˈaːˈɛlˈɡeː	ˈalk	ʔalk	abbr	[]	0.375	0.875	0.750
Aa	ʔaʔa	aˈʔa	ˈɑː	aː	dict	[]	0.500	1.000	0.000
Aachen	aːxən	ˈaːxn	ˈɑːxən	aːχən	dict	[]	0.400	0.400	0.200
Aachener	aːxənɐ	ˈaːxənɐ	ˈɑːxənɜ	ʔaaxənɐ	dict	[]	0.167	0.500	0.333
Aachenerin	aːxənəʁɪn	ˈaːxənəʁɪn	ˈɑːxənərˌɪn	ʔaaxənɐɪn	dict	[]	0.111	0.444	0.444
Aake	aːkə	ˈaːkə	ˈɑːkə	ʔaaːkə	dict	[]	0.250	0.500	0.500
Aakerbeere	aːkɐbeːʁə	ˈoːkɐˌbeːʁə	ˈɑːkɜbˌeːrə	ʔaʔaːkɛʁbəɐə	dict	[]	0.333	0.556	0.889
Aal	aːl	aːl	ˈɑːl	aːl	dict	[]	0.000	0.667	0.000
Aalauge	aːlaʊɡə	aːlˈaʊɡə	ˈɑːlaʊɡə	ʔaalaoːgə	compound	aal|auge	0.143	0.286	0.714
