grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
'tain	tɛ	tɛ	tˈɛ	tɛ	dict	[]	0.000	0.500	0.000
A	a	a	ˈa	a	dict	[]	0.000	1.000	0.000
ABS	abeɛs	ɑbeɛs	ˈab	abeɛs	abbr	[]	0.200	0.800	0.000
ACE	as	ɑseœ	ˈas	as	abbr	[]	1.500	0.500	0.000
ACL	aseɛl	ɑseɛl	ˌeɪsˌiːˈɛl	akl	abbr	[]	0.200	1.400	0.600
ADN	adeɛn	ɑdeɛn	adˌeˈɛn	adn	abbr	[]	0.200	0.400	0.400
ADQ	adeky	ɑdeky	ˈadk	adk	abbr	[]	0.200	0.600	0.400
AFM	aɛfɛm	ɑɛfɛm	ˈafm	af	abbr	[]	0.200	0.600	0.600
AFP	aɛfpe	ɑɛfpe	ˈafp	af	abbr	[]	0.200	0.600	0.600
AFPC	aɛfpese	ɑɛfpese	ˈafpk	af	abbr	[]	0.143	0.714	0.714
ALÉNA	alena	ɑɛlɛnɑ	alenˈa	alena	abbr	[]	0.800	0.200	0.000
ANP	aɛnpe	ɑɛnpe	ˈɑp	ɑ	abbr	[]	0.200	0.800	1.000
AOC	aose	ɑose	aˈɔk	aose	abbr	[]	0.250	0.750	0.000
API	apei	ɑpei	apˌeˈi	api	abbr	[]	0.250	0.500	0.250
ARN	aɛʁɛn	ɑɛʁɛn	ˈaʁn	aʁn	abbr	[]	0.200	0.600	0.400
ARYM	aʁim	ɑɛʁiɡʁɛkɛm	aʁˈɛ	aʁim	abbr	[]	1.750	0.500	0.000
ASBL	aɛsbeɛl	ɑɛsbeɛl	ˈazbl	asbl	abbr	[]	0.143	0.714	0.429
AZERTY	azɛʁti	ɑzɛdœɛʁteiɡʁɛk	ˈazəti	azɛʁti	abbr	[]	1.500	0.500	0.000
Aalénien	alenjɛ	aalenjɛ	aalenjˈɛ	aalenjɛ	compound	aa|lén|ien	0.167	0.333	0.167
Aaron	aaʁɔ	aaʁɔ	aaʁˈɔ	aaʁɔ	compound	aa|ron	0.000	0.250	0.000
Aast	aast	aast	aˈast	a	compound	aa|st	0.000	0.250	0.750
Abainville	abɛvil	abɛvil	abɛvˈil	abɛvil	compound	ab|ain|ville	0.000	0.167	0.000
Abancourt	abɑkuʁ	abɑkuʁ	abɑkˈuʁ	abɑkuʁ	dict	[]	0.000	0.167	0.000
Abbaretz	abaʁɛ	abaʁɛ	abaʁˈɛts	abbaʁɛt	dict	[]	0.000	0.600	0.400
Abbecourt	abkuʁ	abkuʁ	abkˈuʁ	abəkuʁ	compound	abbe|court	0.000	0.200	0.200
Abbeville	abvil	abvil	abvˈil	abvil	compound	abbe|ville	0.000	0.200	0.000
Abbevillois	abvilwa	abvilwa	abvijwˈa	abvilwa	dict	[]	0.000	0.286	0.000
Abbevilloise	abvilwaz	abvilwaz	abvijwˈaz	abvilwaz	dict	[]	0.000	0.250	0.000
Abby	abi	abi	ˈabi	abbei	compound	abb|y	0.000	0.333	0.667
Abbécourt	abekuʁ	abekuʁ	abekˈuʁ	abekuʁ	compound	abbé|court	0.000	0.167	0.000
Abdallah	abdala	abdala	abdalˈa	abdala	compound	ab|dalla|h	0.000	0.167	0.000
Abdias	abdja	abdja	abdjˈa	abdja	compound	ab|dias	0.000	0.200	0.000
Abdoul	abdul	abdoyl	abdˈul	abdul	compound	abdo|ul	0.400	0.200	0.000
Abdoulaye	abdulaj	abdoylaj	abdulˈɛj	abdulɛ	compound	abdo|ul|ay|e	0.286	0.286	0.286
Abdoulla	abdula	abdula	abdulˈa	abdula	dict	[]	0.000	0.167	0.000
Abeau	abo	abo	abˈo	abo	dict	[]	0.000	0.333	0.000
Abeille	abɛj	abɛj	abˈɛj	abɛj	dict	[]	0.000	0.250	0.000
Abel	abɛl	abɛl	abˈɛl	abɛl	dict	[]	0.000	0.250	0.000
Abelin	ablɛ	ablɛ	ablˈɛ	ablɛ	dict	[]	0.000	0.250	0.000
Abelone	ablɔn	ablɔn	ablˈɔn	abɛlɔn	dict	[]	0.000	0.200	0.200
Aberdeen	abɛʁdin	abɛʁdin	ˌabədˈiːn	abɛʁdn	dict	[]	0.000	0.714	0.143
Abidjan	abidʒɑ	abidʒɑ	abidʒˈɑ	abidʒɑ	compound	abi|dj|an	0.000	0.167	0.000
Abidjanais	abidʒanɛ	abidʒanɛ	abidʒanˈɛ	abidʒanɛ	compound	abi|dj|anais	0.000	0.125	0.000
Abitibi	abitibi	abitibi	abitibˈi	abitibi	compound	abi|tib|i	0.000	0.143	0.000
Abkhazie	apkazi	abkazi	abkazˈi	abkazi	compound	ab|kha|zie	0.167	0.333	0.167
Ablon	ablɔ	ablɔ	ablˈɔ	ablɔ	compound	ab|lon	0.000	0.250	0.000
Ablons	ablɔ	ablɔ	ablˈɔ	ablɔ	compound	ab|lons	0.000	0.250	0.000
Abomey	abɔmɛ	abɔmɛ	abomˈɛ	abɔmɛ	compound	abo|mey	0.000	0.400	0.000
Aborigène	abɔʁiʒɛn	abɔʁiʒɛn	aboʁiʒˈɛn	abɔʁiʒɛn	dict	[]	0.000	0.250	0.000
Abou	abu	abu	abˈu	abu	dict	[]	0.000	0.333	0.000
Abraham	abʁaam	abʁaam	abʁaˈam	abʁaam	dict	[]	0.000	0.167	0.000
Abruzzes	abʁyz	abʁyz	abʁˈœz	abʁyzz	dict	[]	0.000	0.400	0.200
Absalom	apsalɔm	absalɔm	absalˈɔm	absalɔm	compound	ab|sa|lom	0.143	0.286	0.143
Abyssinie	abisini	abisini	abisinˈi	abisini	compound	ab|ys|sin|ie	0.000	0.143	0.000
Abélard	abelaʁ	abelaʁ	abelˈaʁ	abelaʁ	compound	ab|él|ard	0.000	0.167	0.000
Abélia	abelja	abelja	abeljˈa	abelja	dict	[]	0.000	0.167	0.000
Acadie	akadi	akadi	akadˈi	akadi	dict	[]	0.000	0.200	0.000
Acarnanie	akaʁnani	akaʁnani	akaʁnanˈi	akaʁnani	dict	[]	0.000	0.125	0.000
Accous	akus	akus	akˈu	aku	compound	acc|ous	0.000	0.500	0.250
Achache	aʃaʃ	aʃaʃ	aʃˈaʃ	aʃaʃ	dict	[]	0.000	0.250	0.000
Achaïe	akai	akaj	aʃˈaj	aʃaj	compound	ach|aïe	0.250	0.750	0.500
Achille	aʃil	aʃil	aʃˈij	aʃil	dict	[]	0.000	0.500	0.000
Achour	aʃuʁ	aʃuʁ	aʃˈuʁ	aʃuʁ	dict	[]	0.000	0.250	0.000
Achéron	akeʁɔ	akeʁɔ	aʃeʁˈɔ	aʃeʁɔ	compound	ach|éron	0.000	0.200	0.000
Acre	akʁ	akʁ	ˈakʁ	akʁ	dict	[]	0.000	0.333	0.000
Actes	akt	akt	ˈakt	akt	dict	[]	0.000	0.333	0.000
Acton	aktɔ	aktɔ	aktˈɔ	aktɔ	compound	act|on	0.000	0.250	0.000
Adam	adɑ	adɑ	adˈɑ	adam	dict	[]	0.000	0.333	0.667
Adeline	adlin	adlin	adlˈin	adəlin	compound	ade|line	0.000	0.200	0.200
Adiabène	adjabɛn	adjabɛn	adjabˈɛn	adjabɛn	compound	[]	0.000	0.143	0.000
Adimi	adimi	adimi	adimˈi	adimi	compound	adi|mi	0.000	0.200	0.000
Adjani	adʒani	adʒani	adʒanˈi	adʒani	compound	ad|jan|i	0.000	0.167	0.000
Adolphe	adɔlf	adɔlf	adˈɔlf	adɔlf	dict	[]	0.000	0.200	0.000
Adrien	adʁijɛ	adʁijɛ	adʁiˈɛ	adʁijɛ	dict	[]	0.000	0.167	0.000
Adrienne	adʁijɛn	adʁijɛn	adʁiˈɛn	adʁijɛn	dict	[]	0.000	0.143	0.000
Adèle	adɛl	adɛl	adˈɛl	adɛl	compound	[]	0.000	0.250	0.000
Adélard	adelaʁ	adelaʁ	adelˈaʁ	adelaʁ	compound	adé|lard	0.000	0.167	0.000
Adélaïde	adelaid	adelaid	adelaˈid	adelaid	dict	[]	0.000	0.143	0.000
Adélie	adeli	adeli	adelˈi	adeli	dict	[]	0.000	0.200	0.000
Afar	afaʁ	afaʁ	afˈaʁ	afaʁ	compound	af|ar	0.000	0.250	0.000
Afghan	afɡɑ	afgɑ	afɡˈɑ	afɡɑ	dict	[]	0.250	0.250	0.000
Afghanistan	afɡanistɑ	afganistɑ	afɡanistˈɑ	afɡanistɑ	dict	[]	0.111	0.111	0.000
Afrique	afʁik	afʁik	afʁˈik	afʁik	dict	[]	0.000	0.200	0.000
Agamemnon	aɡamɛmnɔ	aɡamɛmnɔ	aɡamɛmnˈɔ	aɡamɛmnɔ	dict	[]	0.000	0.125	0.000
Agathe	aɡat	aˈɡaːtə	ˈaɡeɪð	aɡat	all_lang	[]	0.750	1.000	0.000
Agen	aʒɛ	aʒɛ	aʒˈɛn	aʒɛ	dict	[]	0.000	0.667	0.000
Aggée	aʒe	aɡʒe	aɡˈe	aɡʒe	compound	ag|gé|e	0.333	0.667	0.333
Aglukark	aɡlukaʁk	aɡlykaʁk	ɐɡlˈuːkɑːk	aɡlykaʁk	compound	ag|lu|ka|rk	0.125	0.625	0.125
Aglukkaq	aɡlukak	aɡlykak	aɡlykkˈak	aɡlykkak	compound	ag|lu|kk|a|q	0.143	0.429	0.286
Agly	aɡli	aɡli	aɡlˈi	aɡli	compound	ag|ly	0.000	0.250	0.000
Agneau	aɲo	aɲo	anjˈo	aɲo	dict	[]	0.000	1.000	0.000
Agniers	aɲe	aɲe	anjˈe	aɲje	dict	[]	0.000	1.000	0.333
Agnès	aɲɛs	aɲɛs	anjˈɛs	aɲɛs	dict	[]	0.000	0.750	0.000
Agésilas	aʒezilas	aʒezilas	aʒezilˈa	aʒezila	dict	[]	0.000	0.250	0.125
Aimé	ɛme	ɛme	ɛmˈe	ɛme	dict	[]	0.000	0.333	0.000
Aimée	ɛme	ɛme	ɛmˈe	eme	dict	[]	0.000	0.333	0.000
Ain	ɛ	ɛ	ˈɛ	ɛ	dict	[]	0.000	1.000	0.000
Aisne	ɛn	ɛn	ˈɛsn	ɛn	dict	[]	0.000	1.000	0.000
Aiton	ɛtɔ	ɛtɔ	ɛtˈɔ	ɛtɔ	dict	[]	0.000	0.333	0.000
Aixois	ɛkswa	ɛkswa	ɛkswˈa	ɛkswa	dict	[]	0.000	0.200	0.000
Aixoise	ɛkswaz	ɛkswaz	ɛkswˈaz	ɛkswaz	dict	[]	0.000	0.167	0.000
Ajaccio	aʒaksjo	aʒaksjo	aʒaksjˈo	aʒaksjo	dict	[]	0.000	0.143	0.000
Akhannouch	akanuʃ	akanuʃ	akanˈuʃ	akanuʃ	dict	[]	0.000	0.167	0.000
Akiko	akiko	akiko	akikˈo	akiko	compound	aki|ko	0.000	0.200	0.000
Akkadien	akadjɛ	akadjɛ	akkadjˈɛ	akkadjɛ	dict	[]	0.000	0.333	0.167
Akkouche	akuʃ	akuʃ	akkˈuʃ	akkuʃ	compound	ak|kou|che	0.000	0.500	0.250
Akram	akʁam	akʁam	akʁˈam	akʁam	compound	ak|ra|m	0.000	0.200	0.000
Akrem	akʁɛm	akʁɛm	akʁˈɛm	akʁəm	compound	ak|rem	0.000	0.200	0.200
Akwesasne	akwezasne	akwezasne	akwzˈasn	akwizan	dict	[]	0.000	0.333	0.333
Alabama	alabama	alabama	alabamˈa	alabama	dict	[]	0.000	0.143	0.000
Alabamien	alabamjɛ	alabamjɛ	alabamjˈɛ	alabamjɛ	compound	ala|ba|mien	0.000	0.125	0.000
Alabamienne	alabamjɛn	alabamjɛn	alabamjˈɛn	alabamjɛn	compound	ala|ba|mienne	0.000	0.111	0.000
Alain	alɛ	alɛ	alˈɛ	alɛ	dict	[]	0.000	0.333	0.000
Alais	alɛ	alɛ	alˈɛ	alɛ	dict	[]	0.000	0.333	0.000
Alaska	alaska	alaska	alaskˈa	alaska	dict	[]	0.000	0.167	0.000
Alaïa	alaja	alaja	alajˈa	alaja	compound	ala|ïa	0.000	0.200	0.000
Alban	albɑ	albɑ	albˈɑ	albɑ	compound	al|ban	0.000	0.250	0.000
Albanais	albanɛ	albanɛ	albanˈɛ	albanɛ	dict	[]	0.000	0.167	0.000
Albanaise	albanɛz	albanɛz	albanˈɛz	albanɛz	dict	[]	0.000	0.143	0.000
Albane	alban	alban	albˈan	alban	dict	[]	0.000	0.200	0.000
Albanie	albani	albani	albanˈi	albani	dict	[]	0.000	0.167	0.000
Albanien	albanjɛ	albanjɛ	albanjˈɛ	albanjɛ	dict	[]	0.000	0.143	0.000
Albert	albɛʁ	albɛʁ	albˈɛʁ	albɛʁ	compound	al|bert	0.000	0.200	0.000
Alberta	albɛʁtɔ	albɛʁtɔ	albɛʁtˈa	albɛʁta	dict	[]	0.000	0.143	0.000
Alberte	albɛʁt	albɛʁt	albˈɛʁt	albɛʁt	dict	[]	0.000	0.167	0.000
Albertine	albɛʁtin	albɛʁtin	albɛʁtˈin	albɛʁtin	dict	[]	0.000	0.125	0.000
Albi	albi	albi	albˈi	albi	compound	al|bi	0.000	0.250	0.000
Albion	albjɔ	albjɔ	albjˈɔ	albjɔ	dict	[]	0.000	0.200	0.000
Albouy	albwij	albwij	albwˈi	albui	dict	[]	0.000	0.333	0.333
Alceste	alsɛst	alsɛst	alsˈɛst	alsɛst	dict	[]	0.000	0.167	0.000
Alcibiade	alsibjad	alsibjad	alsibjˈad	alsibjad	dict	[]	0.000	0.125	0.000
Aldebaran	aldəbaʁɑ	aldəbaʁɑ	aldəbaʁˈɑ	aldbaʁɑ	dict	[]	0.000	0.125	0.125
Alençon	alɑsɔ	alɑsɔ	alɑsˈɔ	alɑsɔ	dict	[]	0.000	0.200	0.000
Alep	alɛp	alɛp	alˈɛp	alɛp	dict	[]	0.000	0.250	0.000
Alesi	alezi	alezi	alzˈi	alzi	dict	[]	0.000	0.400	0.200
Alex	alɛks	alɛks	alˈɛks	alɛks	dict	[]	0.000	0.200	0.000
Alexa	alɛksa	alɛksa	alɛksˈa	alɛksa	compound	alex|a	0.000	0.167	0.000
Alexandra	alɛksɑdʁa	alɛksɑdʁa	alɛksɑdʁˈa	alɛksɑdʁa	dict	[]	0.000	0.111	0.000
Alexandre	alɛksɑdʁ	alɛksɑdʁ	alɛksˈɑdʁ	alɛksɑdʁ	dict	[]	0.000	0.125	0.000
Alexandrescu	alɛksɑdʁɛsky	alɛksɑdʁsky	alɛksɑdʁɛskˈy	alɛksɑdʁɛsky	compound	alexandre|sc|u	0.083	0.083	0.000
Alexandrie	alɛksɑdʁi	alɛksɑdʁi	alɛksɑdʁˈi	alɛksɑdʁi	dict	[]	0.000	0.111	0.000
Alexandrin	alɛksɑdʁɛ	alɛksɑdʁɛ	alɛksɑdʁˈɛ	alɛksɑdʁɛ	dict	[]	0.000	0.111	0.000
Alexandrine	alɛksɑdʁin	alɛksɑdʁin	alɛksɑdʁˈin	alɛksɑdʁin	dict	[]	0.000	0.100	0.000
Alexandrovsk	alɛksɑdʁɔvsk	alɛksɑdʁɔvsk	alɛksɑdʁˈɔvsk	alɛksɑdʁɔvk	dict	[]	0.000	0.083	0.083
Alexanian	alɛksanjɑ	alɛksanjɑ	alɛksanjˈɑ	alɛksanjɑ	dict	[]	0.000	0.111	0.000
Alexia	alɛksja	alɛksja	alɛksjˈa	alɛksja	dict	[]	0.000	0.143	0.000
Alexis	alɛksi	alɛksi	alɛksˈi	aleksi	dict	[]	0.000	0.167	0.167
Alfa	alfa	alfa	alfˈa	alfa	compound	al|fa	0.000	0.250	0.000
Alfred	alfʁɛd	alfʁɛd	ˈalfɹɪd	alfʁɛd	compound	al|fr|ed	0.000	0.500	0.000
Alger	alʒe	alʒe	alʒˈe	alʒe	dict	[]	0.000	0.250	0.000
Algérie	alʒeʁi	alʒeʁi	alʒeʁˈi	alʒeʁi	dict	[]	0.000	0.167	0.000
Algérien	alʒeʁjɛ	alʒeʁjɛ	alʒeʁjˈɛ	alʒeʁjɛ	dict	[]	0.000	0.143	0.000
Alice	alis	alis	alˈis	alis	compound	a|lice	0.000	0.250	0.000
Alicia	alisja	əˈliːsiə	alisjˈa	alisja	all_lang	[]	0.833	0.167	0.000
Aline	alin	alin	alˈin	alin	compound	al|ine	0.000	0.250	0.000
Alix	aliks	aliks	alˈiks	aliks	dict	[]	0.000	0.200	0.000
Alizé	alize	alize	alizˈe	alize	dict	[]	0.000	0.200	0.000
Alizée	alize	alize	alizˈe	alize	compound	alizé|e	0.000	0.200	0.000
Aliénor	aljenɔʁ	aljenɔʁ	aljenˈɔʁ	aljenɔʁ	dict	[]	0.000	0.143	0.000
Allais	alɛ	alɛ	alˈɛ	alɛ	dict	[]	0.000	0.333	0.000
Allemagne	almaɲ	almaɲ	almˈaɲ	almaɲ	dict	[]	0.000	0.200	0.000
Allemand	almɑ	almɑ	almˈɑ	almɑ	dict	[]	0.000	0.250	0.000
Allemands	almɑ	almɑ	almˈɑ	almɑ	dict	[]	0.000	0.250	0.000
Allier	alje	alje	aljˈe	alje	dict	[]	0.000	0.250	0.000
Alloula	alula	alula	alulˈa	alula	compound	all|oul|a	0.000	0.200	0.000
Alouane	alwan	alwan	alwˈan	alwan	dict	[]	0.000	0.200	0.000
Alpes	alp	alp	ˈalp	alp	dict	[]	0.000	0.333	0.000
Alphonse	alfɔs	alfɔs	alfˈɔs	alfɔs	compound	al|pho|ns|e	0.000	0.200	0.000
Alphonsine	alfɔsin	alfɔsin	alfɔsˈin	alfɔsin	compound	al|pho|ns|ine	0.000	0.143	0.000
Alphée	alfe	alfe	alfˈe	alfe	dict	[]	0.000	0.250	0.000
Alsace	alzas	alzas	alzˈas	alzas	dict	[]	0.000	0.200	0.000
Alsacien	alzasjɛ	alzasjɛ	alzasjˈɛ	alzasjɛ	dict	[]	0.000	0.143	0.000
Altaï	altaj	altaj	altˈaj	altai	dict	[]	0.000	0.200	0.200
Alès	alɛs	alɛs	alˈɛ	alɛs	compound	al|ès	0.000	0.500	0.000
Alénya	alenja	alenja	alenjˈa	alenja	all_lang	[]	0.000	0.167	0.000
Alépin	alepɛ	alepɛ	alepˈɛ	alepɛ	compound	alé|pin	0.000	0.200	0.000
Amadou	amadu	amadu	amadˈu	amadu	dict	[]	0.000	0.200	0.000
Amalric	amalʁik	amalʁik	amalʁˈik	amalʁik	compound	ama|l|ric	0.000	0.143	0.000
Amand	amɑ	amɑ	amˈɑ	amɑ	dict	[]	0.000	0.333	0.000
Amanda	amɑda	amɑa	amɑdˈa	amɑda	compound	amand|a	0.200	0.200	0.000
Amandine	amɑdin	amɑdin	amɑdˈin	amɑdin	dict	[]	0.000	0.167	0.000
Amari	amaʁi	amaʁi	amaʁˈi	amaʁi	compound	ama|ri	0.000	0.200	0.000
Amarouche	amaʁuʃ	amaʁuʃ	amaʁˈuʃ	amaʁuʃ	compound	ama|rou|che	0.000	0.167	0.000
Amaury	amɔʁi	amɔʁi	ˈamɔːɹi	amɔʁi	dict	[]	0.000	0.600	0.000
Amazonie	amazɔni	amazoni	amazonˈi	amazɔni	dict	[]	0.143	0.286	0.000
Ambre	ɑbʁ	ɑbʁ	ˈɑbʁ	ɑbʁ	dict	[]	0.000	0.333	0.000
Ameline	amlin	amlin	amlˈin	amlin	compound	ame|line	0.000	0.200	0.000
Amhara	amaʁa	amaʁa	amaʁˈa	amaʁa	compound	am|har|a	0.000	0.200	0.000
Amherst	amœʁst	amʃɛʁst	ˈamhəst	ame	compound	am|her|st	0.333	0.500	0.667
Ami	ami	ami	amˈi	ami	dict	[]	0.000	0.333	0.000
Amiens	amjɛ	amjɛ	amjˈɛ	amjɛ	dict	[]	0.000	0.250	0.000
Amin	amin	amin	amˈɛ	amɛ	dict	[]	0.000	0.500	0.500
Amine	amin	amin	amˈin	amin	compound	amin|e	0.000	0.250	0.000
Ammerschwihr	aməʁʃviʁ	aməʁʃviʁ	amɛʁʃwˈiʁ	amɛʁʃviʁ	dict	[]	0.000	0.375	0.125
Amos	amɔs	amo	amˈo	amo	compound	am|os	0.500	0.500	0.500
Amour	amuʁ	amuʁ	amˈuʁ	amuʁ	dict	[]	0.000	0.250	0.000
Amoureux	amuʁø	amuʁø	amuʁˈø	amuʁø	dict	[]	0.000	0.200	0.000
Amouroux	amuʁu	amuʁu	amuʁˈu	amuʁu	dict	[]	0.000	0.200	0.000
Ampère	ɑpɛʁ	ɑpɛʁ	ɑpˈɛʁ	ɑpɛʁ	dict	[]	0.000	0.250	0.000
Amrani	amʁani	amʁani	amʁanˈi	ɑʁani	dict	[]	0.000	0.167	0.333
Amraoui	amʁawi	amʁawi	amʁawˈi	ɑʁawi	compound	am|ra|oui	0.000	0.167	0.333
Amrou	amʁu	amʁu	amʁˈu	ɑʁu	compound	am|rou	0.000	0.250	0.500
Amsterdam	amstɛʁdam	amstɛʁdam	amstɛʁdˈam	amstɛʁdam	dict	[]	0.000	0.111	0.000
Amélie	ameli	ameli	amelˈi	ameli	compound	amé|lie	0.000	0.200	0.000
Américaine	ameʁikɛn	ameʁikɛn	ameʁikˈɛn	ameʁikɛn	dict	[]	0.000	0.125	0.000
Amérique	ameʁik	ameʁik	ameʁˈik	ameʁik	dict	[]	0.000	0.167	0.000
Anansi	anansi	anasi	anɑsˈi	anɑsi	compound	ana|ns|i	0.167	0.200	0.000
Anasazi	anasazi	anasazi	anazazˈi	anazazi	dict	[]	0.000	0.286	0.143
Anastasie	anastazi	anastazi	anastazˈi	anastazi	dict	[]	0.000	0.125	0.000
Anatole	anatɔl	anatɔl	anatˈɔl	anatɔl	compound	ana|tole	0.000	0.167	0.000
Anatolie	anatɔli	anatɔli	anatolˈi	anatɔli	dict	[]	0.000	0.286	0.000
Anaxagore	anaksaɡɔʁ	anaksaɡɔʁ	anaksaɡˈɔʁ	anaksaɡɔʁ	dict	[]	0.000	0.111	0.000
Anaxarque	anaksaʁk	anaksaʁk	anaksˈaʁk	anaksaʁk	compound	ana|x|arque	0.000	0.125	0.000
Anaximandre	anaksimɑdʁ	anaksimɑdʁ	anaksimˈɑdʁ	anaksimɑdʁ	dict	[]	0.000	0.100	0.000
Anaximène	anaksimɛn	anaksimɛn	anaksimˈɛn	anaksimɛn	dict	[]	0.000	0.111	0.000
Anaïs	anais	anais	anaˈis	anais	compound	ana|ïs	0.000	0.200	0.000
Ancyre	ɑsiʁ	ɑsiʁ	ɑsˈiʁ	ɑsiʁ	dict	[]	0.000	0.250	0.000
Ancône	ɑkon	ɑkon	ɑkˈɔn	ɑkon	dict	[]	0.000	0.500	0.000
Andalousie	ɑdaluzi	ɑdaluzi	ɑdaluzˈi	ɑdaluzi	dict	[]	0.000	0.143	0.000
Andes	ɑd	ɑd	ˈɑd	ɑd	dict	[]	0.000	0.500	0.000
Andie	ɑdi	ɑdi	ɑdˈi	ɑdi	dict	[]	0.000	0.333	0.000
Andocide	ɑdɔsid	ɑdɔsid	ɑdosˈid	ɑdɔsid	dict	[]	0.000	0.333	0.000
Andorre	ɑdɔʁ	ɑdɔʁ	ɑdˈoʁ	ɑdɔʁ	dict	[]	0.000	0.500	0.000
Andreassian	ɑdʁeasjɑ	ɑdʁeasjɑ	ˈandɹiːʃən	ɑdʁasjɑ	dict	[]	0.000	1.125	0.125
Andretti	ɑdʁɛti	ɑdʁɛti	ɑdʁɛtˈi	ɑdʁɛti	dict	[]	0.000	0.167	0.000
Andrin	ɑdʁɛ	ɑdʁɛ	ɑdʁˈɛ	ɑdʁɛ	dict	[]	0.000	0.250	0.000
Andrinople	ɑdʁinɔpl	ɑdʁinɔpl	ɑdʁinˈɔpl	ɑdʁinɔpl	dict	[]	0.000	0.125	0.000
Andromède	ɑdʁɔmɛd	ɑdʁɔmɛd	ɑdʁomˈɛd	ɑdʁɔmɛd	dict	[]	0.000	0.286	0.000
Androuet	ɑdʁuɛ	ɑdʁuɛ	ɑdʁwˈɛ	ɑdʁuɛ	dict	[]	0.000	0.400	0.000
André	ɑdʁe	ɑdʁe	ɑdʁˈe	ɑdʁe	dict	[]	0.000	0.250	0.000
Andréan	ɑdʁeɑ	ɑdʁeɑ	ɑdʁeˈɑ	ɑdʁeɑ	compound	andré|an	0.000	0.200	0.000
Andréana	ɑdʁeana	ɑdʁeana	ɑdʁeanˈa	ɑdʁeana	compound	andré|ana	0.000	0.143	0.000
Andréane	ɑdʁean	ɑdʁean	ɑdʁeˈan	ɑdʁean	compound	andré|ane	0.000	0.167	0.000
Andréanne	ɑdʁean	ɑdʁean	ɑdʁeˈan	ɑdʁean	compound	andré|anne	0.000	0.167	0.000
Andréassian	ɑdʁeasjɑ	ɑdʁeasjɑ	ɑdʁeasjˈɑ	ɑdʁeasjɑ	dict	[]	0.000	0.125	0.000
Andrée	ɑdʁe	ɑdʁe	ɑdʁˈe	ɑdʁe	dict	[]	0.000	0.250	0.000
Ange	ɑʒ	ɑʒ	ˈɑʒ	ɑʒ	dict	[]	0.000	0.500	0.000
Angelier	ɑʒəlje	ɑʒəlje	ɑʒəljˈe	ɑʒlje	dict	[]	0.000	0.167	0.167
Angelin	ɑʒlɛ	ɑʒlɛ	ɑʒlˈɛ	ɑʒlɛ	compound	ange|lin	0.000	0.250	0.000
Angeline	ɑʒlin	ɑʒlin	ɑʒlˈin	ɑʒlin	compound	ange|line	0.000	0.200	0.000
Angers	ɑʒe	ɑʒe	ɑʒˈe	ɑʒe	dict	[]	0.000	0.333	0.000
Anglade	ɑɡlad	ɑɡlad	ɑɡlˈad	ɑɡlad	compound	ang|lad|e	0.000	0.200	0.000
Anglais	ɑɡlɛ	ɑglɛ	ɑɡlˈɛ	ɑɡlɛ	dict	[]	0.250	0.250	0.000
Anglaise	ɑɡlɛz	ɑglɛz	ɑɡlˈɛz	ɑɡlɛz	dict	[]	0.200	0.200	0.000
Angleterre	ɑɡlətɛʁ	ɑglətɛʁ	ɑɡlətˈɛʁ	ɑɡlətɛʁ	dict	[]	0.143	0.143	0.000
