grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per	olaph_llm	byt5	olaph_llm_per	byt5_per
Aalénien	alenjɛ	aalenjɛ	aalenjɛ	aalenjɛ	compound	aa|lén|ien	0.14285714285714285	0.14285714285714285	0.14285714285714285	alenjɛ̃	aalenjɛ̃	0.14285714285714285	0.25
Aaron	aaʁɔ	aaʁɔ	aaʁɔ	aaʁɔ	compound	aa|ron	0.0	0.0	0.0	aaʁɔ	aʁɔ̃	0.0	0.5
Aast	aast	aast	aast	a	compound	aa|st	0.0	0.0	3.0	aast	ɑst	0.0	0.6666666666666666
Abainville	abɛvil	abɛvil	abɛvil	abɛvil	compound	ab|ain|ville	0.0	0.0	0.0	abɛ̃vil	abɛ̃vil	0.14285714285714285	0.14285714285714285
Abbecourt	abkuʁ	abkuʁ	abkuʁ	abəkuʁ	compound	abbe|court	0.0	0.0	0.16666666666666666	abkuʁ	abəkuʁ	0.0	0.16666666666666666
Abbeville	abvil	abvil	abvil	abvil	compound	abbe|ville	0.0	0.0	0.0	abvil	abvil	0.0	0.0
Abby	abi	abi	abi	abbei	compound	abb|y	0.0	0.0	0.4	abi	abi	0.0	0.0
Abbécourt	abekuʁ	abekuʁ	abekuʁ	abekuʁ	compound	abbé|court	0.0	0.0	0.0	abekuʁ	abekuʁ	0.0	0.0
Abdallah	abdala	abdala	abdala	abdala	compound	ab|dalla|h	0.0	0.0	0.0	abdala	abdala	0.0	0.0
Abdias	abdja	abdja	abdja	abdja	compound	ab|dias	0.0	0.0	0.0	abdja	abdja	0.0	0.0
Abdoul	abdul	abdoyl	abdul	abdul	compound	abdo|ul	0.3333333333333333	0.0	0.0	abdul	abdul	0.0	0.0
Abdoulaye	abdulaj	abdoylaj	abdulɛj	abdulɛ	compound	abdo|ul|ay|e	0.25	0.14285714285714285	0.3333333333333333	abdoylaj	abdulɛj	0.25	0.14285714285714285
Abidjan	abidʒɑ	abidʒɑ	abidʒɑ	abidʒɑ	compound	abi|dj|an	0.0	0.0	0.0	abidʒɑ̃	abidʒɑ̃	0.14285714285714285	0.14285714285714285
Abidjanais	abidʒanɛ	abidʒanɛ	abidʒanɛ	abidʒanɛ	compound	abi|dj|anais	0.0	0.0	0.0	abidʒanɛ	abidʒanɛ	0.0	0.0
Abitibi	abitibi	abitibi	abitibi	abitibi	compound	abi|tib|i	0.0	0.0	0.0	abitibi	abitibi	0.0	0.0
Abkhazie	apkazi	abkazi	abkazi	abkazi	compound	ab|kha|zie	0.16666666666666666	0.16666666666666666	0.16666666666666666	abkazi	apkazi	0.16666666666666666	0.0
Ablon	ablɔ	ablɔ	ablɔ	ablɔ	compound	ab|lon	0.0	0.0	0.0	abl	ablɔ̃	0.3333333333333333	0.2
Ablons	ablɔ	ablɔ	ablɔ	ablɔ	compound	ab|lons	0.0	0.0	0.0	ablɔ̃	ablɔ̃	0.2	0.2
Abomey	abɔmɛ	abɔmɛ	abomɛ	abɔmɛ	compound	abo|mey	0.0	0.2	0.0	abɔmɛ	abɔmɛ	0.0	0.0
Absalom	apsalɔm	absalɔm	absalɔm	absalɔm	compound	ab|sa|lom	0.14285714285714285	0.14285714285714285	0.14285714285714285	apsalɔm	apsalɔm	0.0	0.0
Abyssinie	abisini	abisini	abisini	abisini	compound	ab|ys|sin|ie	0.0	0.0	0.0	abisin	abisini	0.16666666666666666	0.0
Abélard	abelaʁ	abelaʁ	abelaʁ	abelaʁ	compound	ab|él|ard	0.0	0.0	0.0	abelaʁ	abelaʁ	0.0	0.0
Accous	akus	akus	aku	aku	compound	acc|ous	0.0	0.3333333333333333	0.3333333333333333	aku	aku	0.3333333333333333	0.3333333333333333
Achaïe	akai	akaj	aʃaj	aʃaj	compound	ach|aïe	0.25	0.5	0.5	aʃaj	aʃaj	0.5	0.5
Achéron	akeʁɔ	akeʁɔ	aʃeʁɔ	aʃeʁɔ	compound	ach|éron	0.0	0.2	0.2	akeʁɔ̃	aʃeʁɔ̃	0.16666666666666666	0.3333333333333333
Acton	aktɔ	aktɔ	aktɔ	aktɔ	compound	act|on	0.0	0.0	0.0	aktɔ	aktɔ̃	0.0	0.2
Adeline	adlin	adlin	adlin	adəlin	compound	ade|line	0.0	0.0	0.16666666666666666	adlin	adlin	0.0	0.0
Adiabène	adjabɛn	adjabɛn	adjabɛn	adjabɛn	compound	[]	0.0	0.0	0.0	adjabɛn	adjabɛn	0.0	0.0
Adimi	adimi	adimi	adimi	adimi	compound	adi|mi	0.0	0.0	0.0	adimi	adimi	0.0	0.0
Adjani	adʒani	adʒani	adʒani	adʒani	compound	ad|jan|i	0.0	0.0	0.0	adʒani	adʒani	0.0	0.0
Adèle	adɛl	adɛl	adɛl	adɛl	compound	[]	0.0	0.0	0.0	adɛl	adɛl	0.0	0.0
Adélard	adelaʁ	adelaʁ	adelaʁ	adelaʁ	compound	adé|lard	0.0	0.0	0.0	adelaʁ	adelaʁ	0.0	0.0
Afar	afaʁ	afaʁ	afaʁ	afaʁ	compound	af|ar	0.0	0.0	0.0	afaʁ	afaʁ	0.0	0.0
Aggée	aʒe	aɡʒe	aɡe	aɡʒe	compound	ag|gé|e	0.25	0.3333333333333333	0.25	aɡe	age	0.3333333333333333	0.3333333333333333
Aglukark	aɡlukaʁk	aɡlykaʁk	ɐɡlukɑk	aɡlykaʁk	compound	ag|lu|ka|rk	0.125	0.42857142857142855	0.125	aɡlykaʁk	aglykaʁk	0.125	0.25
Aglukkaq	aɡlukak	aɡlykak	aɡlykkak	aɡlykkak	compound	ag|lu|kk|a|q	0.14285714285714285	0.25	0.25	aɡlykak	aglykak	0.14285714285714285	0.2857142857142857
Agly	aɡli	aɡli	aɡli	aɡli	compound	ag|ly	0.0	0.0	0.0	aɡli	agli	0.0	0.25
Akiko	akiko	akiko	akiko	akiko	compound	aki|ko	0.0	0.0	0.0	akiko	akiko	0.0	0.0
Akkouche	akuʃ	akuʃ	akkuʃ	akkuʃ	compound	ak|kou|che	0.0	0.2	0.2	akuʃ	akuʃ	0.0	0.0
Akram	akʁam	akʁam	akʁam	akʁam	compound	ak|ra|m	0.0	0.0	0.0	akʁam	akʁam	0.0	0.0
Akrem	akʁɛm	akʁɛm	akʁɛm	akʁəm	compound	ak|rem	0.0	0.0	0.2	akʁɛm	akʁɛm	0.0	0.0
Alabamien	alabamjɛ	alabamjɛ	alabamjɛ	alabamjɛ	compound	ala|ba|mien	0.0	0.0	0.0	alabamjɛ̃	alabamjɛ̃	0.1111111111111111	0.1111111111111111
Alabamienne	alabamjɛn	alabamjɛn	alabamjɛn	alabamjɛn	compound	ala|ba|mienne	0.0	0.0	0.0	alabamjɛn	alabamjɛn	0.0	0.0
Alaïa	alaja	alaja	alaja	alaja	compound	ala|ïa	0.0	0.0	0.0	alaja	alaja	0.0	0.0
Alban	albɑ	albɑ	albɑ	albɑ	compound	al|ban	0.0	0.0	0.0	albɑ̃	albɑ̃	0.2	0.2
Albert	albɛʁ	albɛʁ	albɛʁ	albɛʁ	compound	al|bert	0.0	0.0	0.0	albɛʁ	albɛʁ	0.0	0.0
Albi	albi	albi	albi	albi	compound	al|bi	0.0	0.0	0.0	albi	albi	0.0	0.0
Alexa	alɛksa	alɛksa	alɛksa	alɛksa	compound	alex|a	0.0	0.0	0.0	alɛksa	alɛksa	0.0	0.0
Alexandrescu	alɛksɑdʁɛsky	alɛksɑdʁsky	alɛksɑdʁɛsky	alɛksɑdʁɛsky	compound	alexandre|sc|u	0.09090909090909091	0.0	0.0	alɛksɑ̃dʁɛsk	alɛksɑ̃dʁɛsky	0.16666666666666666	0.07692307692307693
Alfa	alfa	alfa	alfa	alfa	compound	al|fa	0.0	0.0	0.0	alfa	alfa	0.0	0.0
Alfred	alfʁɛd	alfʁɛd	alfɹɪd	alfʁɛd	compound	al|fr|ed	0.0	0.3333333333333333	0.0	alfʁɛd	alfʁɛd	0.0	0.0
Alice	alis	alis	alis	alis	compound	a|lice	0.0	0.0	0.0	alis	alis	0.0	0.0
Aline	alin	alin	alin	alin	compound	al|ine	0.0	0.0	0.0	alin	alin	0.0	0.0
Alizée	alize	alize	alize	alize	compound	alizé|e	0.0	0.0	0.0	alize	alize	0.0	0.0
Alloula	alula	alula	alula	alula	compound	all|oul|a	0.0	0.0	0.0	alula	alula	0.0	0.0
Alphonse	alfɔs	alfɔs	alfɔs	alfɔs	compound	al|pho|ns|e	0.0	0.0	0.0	alfɔs	alfɔ̃s	0.0	0.16666666666666666
